"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"F-150",5,0.748491560032476,4.66125556893838,4,11,6,1,1,16,4,2,1,11,42,0,1,NA,71,NA,1000,770,NA,84,2,50000,81,NA,31,2,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3
"F-150 Hybrid",5,-0.792847273252815,1.51806115771552,10,1,3,1,NA,14,NA,NA,NA,NA,1,NA,NA,1,59,2000,37500,704,NA,NA,2,72000,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",5,0.592700574275787,1.84949724598697,12,11,4,1,9,15,6,4,1,22,42,0,1,1,53,16000,26000,531,NA,48,1,58000,54,NA,1,2,3,4,3,3,3,1,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2,4,2,1
"F-150",5,-2.48412467280117,2.73840392303084,5,16,1,1,6,14,2,2,1,12,42,2,2,1,39,750,5500,699,NA,72,1,47000,40,NA,NA,2,3,4,4,4,4,1,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,3,1,1,2,3
"F-150",5,-2.14172114017724,5.30861360640439,10,11,3,1,NA,32,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",5,-1.64471066402247,5.3066765937622,12,11,4,1,NA,12,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",2,-4.74422006968833,-14.4656455255169,12,14,4,1,NA,26,NA,NA,NA,NA,42,NA,NA,1,69,8000,NA,678,NA,84,NA,36000,81,216620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,3,5,5,5,5,2,5,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",5,0.874747174303584,5.01231745492766,10,16,3,1,NA,20,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,35000,NA,NA,NA,NA,70000,55,NA,NA,NA,3,4,3,3,4,1,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,4,3,2,1,3
"F-150",5,-0.22125176876238,1.70343971603419,11,13,4,1,1,12,6,3,1,22,29,0,2,1,80,2000,NA,950,NA,2,1,62000,47,NA,1,1,3,2,3,3,3,1,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,2,3
"F-150",5,-2.52560341887031,5.14974250358349,9,16,2,1,7,28,5,3,1,11,9,0,1,NA,NA,NA,NA,800,36,NA,1,NA,40,NA,10,1,2,4,4,4,1,1,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,3,4,4,2
"F-150",5,-0.888299143842394,1.39961977397867,10,16,3,1,NA,20,NA,NA,NA,NA,13,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,55,508550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",5,1.5676621900442,1.74827729905709,5,16,1,1,6,30,1,2,1,5,13,2,2,1,50,NA,10000,850,NA,72,2,54000,87,779440,23,2,3,3,3,3,2,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,3,3,4,2,2
"F-150",2,-6.82793300646095,-15.1586387017843,10,12,3,1,3,13,6,3,1,22,41,0,1,NA,84,NA,3000,750,NA,NA,1,50000,63,NA,28,2,1,4,4,3,2,1,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,3,3,1,3
"F-150 Lightning EV",3,3.81378324357871,-9.99584730582277,9,16,2,1,7,31,2,2,1,3,4,2,2,1,NA,NA,NA,1000,36,NA,1,NA,81,NA,13,2,3,4,4,3,2,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,2,4,3,4,3
"F-150 Hybrid",5,-1.9974212584983,1.98103347802188,12,11,4,1,4,15,6,3,1,22,1,0,1,1,0,9508,12000,1881,NA,36,1,87892,4,NA,13,2,2,3,4,3,3,1,4,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,4,4,3,1,1
"F-150 Hybrid",NA,5.9075359061019,-3.95004294885867,6,16,1,1,11,15,4,2,1,3,9,0,2,1,49,500,NA,1350,NA,72,1,83000,11,NA,23,2,4,3,3,2,4,1,1,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,4,1,3,1,4
"F-150",3,3.2973314512674,-8.93769254811649,11,13,4,1,NA,27,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
