"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"GX550",3,-0.507572540271338,-3.35950321035756,5,11,1,1,NA,29,NA,NA,NA,NA,24,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Land Cruiser Hybrid",3,1.90345217024866,-2.78398519962545,10,11,3,1,11,20,6,3,1,22,42,0,2,1,NA,NA,13000,NA,NA,NA,NA,72000,1,NA,27,2,3,3,3,3,3,1,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,2,3,3,1,2
"GX550",3,1.23580042033995,-2.29066082558677,9,11,2,2,11,30,5,2,1,5,19,0,2,1,54,NA,NA,1483,NA,60,NA,78000,48,114700,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,3,3,3,3,3,3,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"GX550",3,2.33600974141051,-2.24271319242546,5,16,1,1,2,28,1,2,1,11,37,2,2,1,73,NA,34361,910,NA,72,NA,84729,30,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,5,4,4,4,4,4,4,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"Land Cruiser Hybrid",3,2.1672406971438,-3.17858642574757,10,16,3,1,4,16,6,3,1,3,37,0,1,1,59,25000,NA,875,NA,60,1,62000,60,326210,23,2,4,3,3,2,3,1,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,3,4,2,3
"Land Cruiser Hybrid",3,3.5893842054213,-2.30283048688804,9,13,2,2,NA,16,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1200,39,NA,1,NA,17,NA,NA,2,3,3,4,3,3,2,3,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,3,2,2,3,3
"GX550",3,1.63160937245832,0.271609468197293,11,16,3,1,1,14,6,1,1,22,27,0,2,1,75,15000,20000,995,NA,60,NA,84000,33,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,5,4,4,5,4,5,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"Land Cruiser Hybrid",2,-7.5612631425694,1.53205323711107,8,14,2,1,7,12,10,4,3,22,31,0,1,NA,63,NA,NA,1200,NA,84,1,79000,40,NA,23,2,4,4,3,3,2,2,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,2,3,3,3
"GX550",3,4.42094715512678,-1.28589146108376,5,11,1,2,11,23,9,1,2,2,32,0,2,NA,NA,NA,NA,NA,36,NA,NA,NA,18,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,5,5,1,3,5,4,5,4,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"GX550",2,-7.19277646960453,2.29838197951625,5,16,1,2,1,15,2,2,1,12,4,2,2,NA,73,12000,NA,998,NA,84,NA,67500,33,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,5,5,5,5,5,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"Land Cruiser Hybrid",3,3.52111068936716,-2.45714401825376,8,16,2,2,NA,16,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Land Cruiser Hybrid",3,1.71500664957501,-2.63743795248615,NA,12,NA,3,NA,20,NA,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,777120,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GX550",3,2.77117933514701,-2.71741237634017,11,16,4,1,NA,29,NA,NA,NA,NA,42,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GX550",3,4.275463163517,-1.36841248861294,11,16,4,2,3,23,6,2,1,5,39,0,1,NA,NA,NA,50000,NA,NA,NA,NA,80000,63,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,5,4,2,4,5,1,5,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"GX550",3,3.30167015990819,-1.35985204818483,10,11,3,2,NA,NA,NA,NA,NA,NA,4,NA,NA,1,60,19000,19000,1166,NA,60,NA,86000,23,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,5,3,1,5,5,5,5,4,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"Land Cruiser Hybrid",3,1.33326327341002,-2.70571112049292,12,15,4,1,3,20,6,3,1,22,42,0,1,1,NA,NA,18000,NA,NA,NA,NA,70000,34,NA,28,2,4,3,4,3,2,2,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,2,2,2
"4Runner",3,1.94739945345317,-3.43546182232195,13,16,4,2,1,14,10,2,3,22,24,0,1,1,NA,NA,10500,NA,NA,NA,NA,59000,61,NA,23,2,3,3,4,3,3,1,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,3,3,4,1,3
"Land Cruiser Hybrid",1,-0.0483403675573635,10.447368431692,12,16,4,1,3,13,6,2,1,22,10,0,1,1,NA,NA,NA,NA,NA,NA,NA,75000,55,NA,27,NA,4,4,4,4,4,1,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,1,4,4,1,3
