"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"Grand Cherokee WL",6,1.79082096099127,-0.255256131087699,10,15,3,1,1,28,2,3,1,5,22,1,2,2,NA,NA,NA,959,36,NA,1,NA,61,NA,14,1,3,4,4,4,2,1,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,1,4,3,4,3
"Grand Cherokee WL",1,-16.9383523359663,-0.590861374846962,5,15,1,1,NA,14,NA,NA,NA,NA,43,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee Plug-In Hybrid",7,-2.87873652855167,10.6580242214911,10,16,2,1,NA,16,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,13,794500,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,5,4,5,2,4,2,5,5,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee L",6,1.96927042103577,-4.06293152837559,10,13,3,1,NA,10,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,44000,83,NA,NA,2,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4
"Grand Cherokee L",6,2.35133102008793,-4.47412267096642,11,16,4,1,11,20,6,2,1,22,3,0,1,NA,NA,NA,20000,NA,NA,NA,NA,59545,48,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,3,4,5,5,4,4,4,5,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",6,1.57485835156486,-3.84716623992192,12,13,4,2,6,20,10,3,2,22,13,0,1,NA,NA,NA,6500,NA,NA,NA,NA,48560,53,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,3,3,5,3,3,3,5,5,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",6,0.16039337780026,0.563374714767339,12,16,4,1,NA,16,NA,NA,NA,NA,29,NA,NA,2,NA,NA,NA,566,36,NA,1,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",6,2.37854313047235,-4.16513036003169,4,11,1,2,NA,14,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",6,2.58123895977424,0.9754843964781,9,15,2,2,NA,15,NA,NA,NA,NA,21,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,23,479000,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,4,2,5,5,5,5,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee L",6,1.33165168167719,1.06317309320275,5,11,1,2,NA,16,NA,NA,NA,NA,39,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,80,774060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
